常发豪庭国际	16160	普通住宅	1.2元/平方米·月	204575m²	1428户	2012年	1：0.8	2.2	35%(一般)	江苏常发置业集团有限公司	常州常福物业	
藻江花园	10565	普通住宅	0.40元/平米·月	14037m²	200户	2000年	地面停车场	暂无数据	暂无数据	常州房地产开发公司	小区物业	
香树湾别墅	15535	别墅	1.8元/平方米·月	291590m²	1409户	2009年	1：1.6	0.6	35%(一般)	江阴高成房地产开发有限公司	第一太平戴维斯物业顾问（上海）有限公司	
翡翠锦园	14462	普通住宅	0.88元/平方米·月	153752m²	905户	2013年	机动车850	3.8	50%(高)	常州宏锦房地产开发有限公司	常州江南中鑫物业	
中凉二村	7992	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	100	1.6	42%(高)	暂无数据	暂无资料	
南苑小区	4736	暂无数据	0.2元/平米·月	暂无数据	暂无数据	暂无数据	120	2	10%(低)	暂无数据	暂无资料	
紫云苑	6678	暂无数据	0.4元/平米·月	暂无数据	暂无数据	暂无数据	250	3.52	30%(一般)	暂无数据	暂无资料	
绿地香奈	12331	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
锦绣天地	12913	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
新城域花园	12231	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
阳光城市	11366	普通住宅	1元/平方米·月	770000m²	4700户	2012年	4000多个地下车位	2	57%(高)	江苏万恒房地产开发有限公司	江苏绿城物业有限公司	
金色新城	12736	普通住宅	0.8元/平方米·月	500000m²	2500户	2002年	地下2400个	1.83	35%(一般)	常州新城房产开发有限公司	常州新城物业有限公司	
凯纳华侨城	18927	公寓	2.2元/平方米·月	87700m²	530户	2012年	车位比1：1	4.2	40%(高)	常州凯纳房地产开发有限公司	常州江南中鑫物业	
花园新村	6946	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	搜房评估参考价：6380元/平方米	
莱蒙城（公寓）	12549	普通住宅	1.00元/平方米·月	1000000m²	626户	2011年	1：1	2	50%(高)	常州莱蒙水榭花都房产开发有限公司	高力国际（加拿大）	
新城首府	19709	普通住宅	3.15元/平方米·月	180000m²	400户	2014年	双层双车位配比1：2	2.4	70%(高)	新城地产	上海金晨物业经营管理有限公司	
康桥水郡	12898	普通住宅	2.00元/平方米·月	150000m²	1269户	2011年	1058个，车位比1：0.8	2.98	33%(一般)	常州天禄建设开发有限公司,常州市恒远置业投资有限公司	常州府琛物业管理有限公司	
百草苑	11218	普通住宅	0.6元/平方米/月	36000m²	400户	2006年	地面停车场	0.4	32%(一般)	常州洛察纳房地产开发有限公司	小区物业	
光华公寓	8004	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	20%(一般)	暂无数据	光华物业	
盛世名门	13226	普通住宅	0.7元/平方米·月	200000m²	1200户	2006年	1：1	2	48%(高)	常州盛业房产发展有限公司	新天地物业	
虹景金桂园	9035	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	30%	暂无数据	25%(一般)	暂无数据	暂无资料	
龙涛紫郡	9253	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
龙涛香榭丽园	10962	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
东渡海派青城	17351	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
潞城花苑	5440	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
城中花苑	9358	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
凯尔锋度	12941	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
凯纳商务广场	13433	公寓	3.8元/平方米·月	110000m²	980户	2010年	1:1.2	暂无数据	27%(一般)	常州洛察纳房地产开发有限公司	豪生国际酒店集团	
鹏欣丽都	18171	普通住宅	1.2元/平方米·月	150000m²	800户	2006年	地下585个	2.8	20%(一般)	常州鹏欣房地产开发有限公司	 常州鹏欣物业开发有限公司	
丽宝第花苑	8447	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
清潭西村	6902	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	搜房评估参考价：6021元/平方米	
怡康花园	16395	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	1：0.6	暂无数据	25%(一般)	暂无数据	搜房评估参考价：8708元/平方米	
聚怡花园幸福小城	10438	暂无数据	0.5元/平方米·月	暂无数据	暂无数据	暂无数据	车位比1：0.7	2.5	35%(一般)	暂无数据	乐居物业	
四季新城北苑	8957	普通住宅	0.5元/平方米·月	90000m²	729户	2005年	1:0.8	1.7	40%(高)	常州新城房产开发有限公司	常州新城物业有限公司	
湖塘花园新村	9154	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	搜房评估参考价：6023元/平方米	
聚湖半岛(普宅)	10947	普通住宅	0.68元/平方米·月	191700m²	1471户	2011年	可租可售	1.48	40%(高)	常州市翔宇置业有限公司 	招商局物业	
南河花园	6992	暂无数据	0.2元/平米·月	暂无数据	暂无数据	暂无数据	350	2.8	45%(高)	暂无数据	暂无资料	
绿地白金汉宫	12848	普通住宅	1.5元/平方米·月	360000m²	700户	2010年	1:0.9 可租可售	2.5	38%(一般)	常州绿地云峰置业有限公司	安基物业	
江南经典花园	11398	普通住宅	0.8元/平方米·月	59600m²	628户	2008年	地上254 地下50	3.1	30%(一般)	常州时昌房地产开发有限公司	人杰物业管理公司	
高力摩卡空间	4815	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
东渡伊顿小镇	10488	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
万达广场	12134	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
桃园新村	24528	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
@时代爱特大厦	9642	普通住宅	0.75元/平方米·月	52000m²	370户	2008年	地下96个	4.4	35%(一般)	常州鸿裕置业有限公司	鸿裕物业公司	
上书房	14381	普通住宅	1.2元/平方米·月	200000m²	1600户	2012年	1000多个	2.18	30%(一般)	常州永红万嘉	常州江南中鑫物业管理有限公司	
朗诗国际街区	16626	普通住宅	1.2元/平方米·月	138000m²	1142户	2012年	总数：1142个	2.5	37%(一般)	常州朗诗置业有限公司	南京朗诗物业有限公司常州分公司	
丽丰园	7638	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	31%(一般)	暂无数据	暂无资料	
邮电路小区	15132	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	18%(低)	暂无数据	暂无资料	
荷花池公寓	17677	普通住宅	0.45元/平方米·月	10000m²	48户	2003年	1：0.7	1.8	20%(一般)	常州常惠发展有限公司	常州常惠发展有限公司	
丰乐公寓	9931	普通住宅	0.35元/平米·月	82000m²	600户	1993年	150	2.4	56%(高)	常州市丰乐房地产开发有限公司	暂无资料	
城中花苑	9265	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	搜房评估参考价：5907元/平方米	
永安花苑	5405	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	搜房评估参考价：4086元/平方米	
北区工房	6611	暂无数据	0.3元/平米·月	暂无数据	暂无数据	暂无数据	100	0.1	10%(低)	暂无数据	暂无资料	
府西花园	14730	普通住宅	0.88元/平方米·月	230000m²	1269户	2011年	1242	3.49	30%(一般)	金城房地产开发有限公司	常州江南中鑫物业管理有限公司	
香槟广场	9998	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
SOHO现代城	7161	普通住宅	0.70元/平方米·月	76000m²	1138户	2004年	200	2.6	10%(低)	百老汇置业有限公司	百老汇置业有限公司	
长虹名苑	9002	普通住宅	0.6元/平方米·月	31000m²	220户	2007年	地下：96 地上：80	2.1	30%(一般)	常州天时利房地产开发有限公司	天时力物业	
花东二村	8672	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	1：0.2	1.4	30%(一般)	暂无数据	花东物业	
亚泰财富中心	9880	普通住宅	0.9元/平方米·月	114575m²	1000户	2009年	800	5	36%(一般)	常州亚泰房地产发展有限公司	常州天安物业	
桃园新村	21327	暂无数据	0.5元/平方米·月	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
朝阳三村	7384	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	搜房评估参考价：5902元/平方米	
天安河滨花园	12345	普通住宅	0.40元/平米·月	50000m²	400户	2000年	地下停车场	暂无数据	暂无数据	常州市丰臣房地产开发有限公司	常州天安物业管理有限公司	
聚盛花园明日星城	11772	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
阳光龙庭	14944	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
芦墅星苑	12238	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
青建鼎都	10698	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
常州万泰国际广场	11165	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
景瑞英郡	13593	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
港龙紫荆城 	9850	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
嘉城尚座	13018	普通住宅	0.75元/平方米·月	31580m²	243户	2006年	200个以上	3.5	35%(一般)	江苏嘉城置业	江苏嘉城置业	
会馆浜公寓	10342	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	搜房评估参考价：7426元/平方米	
清潭院街	11807	普通住宅	1.5元/平方米·月	57120m²	280户	2014年	总数：300个	2.2	20%(一般)	中海置业	满堂红物业管理公司	
圣巴塞耶	10691	普通住宅	0.75元/平方米·月	224000m²	2000户	2013年	总数：1500个	2.5	35%(一般)	常州俞记和嘉置业发展有限公司	常州翠湖物业	
站北新村	6922	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	搜房评估参考价：4979元/平方米	
河苑家园	8160	普通住宅	0.35元/平方米·月	200000m²	1200户	2009年	200	2	32%(一般)	常州市湖港房地产开发有限公司	常州市湖港物业管理有限公司	
藏龙苑	8980	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	搜房评估参考价：5598元/平方米	
富都北村	8648	普通住宅	0.40元/平米·月	36000m²	420户	2002年	地面停车场	暂无数据	暂无数据	常州富都经济发展有限公司	小区物业	
新城蓝钻	10551	普通住宅	0.8元/平方米·月	60000m²	321户	2008年	地下336个	4	20%(一般)	常州新城房产开发有限公司	新城物业有限公司	
吟枫苑	14841	普通住宅	0.88元/平方米·月	200000m²	2000户	2011年	地下，可租	2.2	45%(高)	常州市河海房地产开发有限公司	常州市延陵物业管理有限公司	
新城玉龙湾	12251	普通住宅	0.7元/平方米·月	230000m²	2000户	2009年	1600个	1.9	40%(高)	常州鼎佳房地产开发有限公司	新城物业	
绿园爱舍	8366	普通住宅	0.50元/平方米·月	140000m²	800户	2007年	地下180个	1.8	34%(一般)	常州万联房地产开发有限公司	江苏高正	
浦南南村	7894	暂无数据	0.69元/平方米·月	暂无数据	暂无数据	暂无数据	地面40个	2	11%(低)	暂无数据	暂无资料	
东方明珠花园	13210	普通住宅	0.8元/平方米·月	80000m²	600户	2008年	地下327个	2.8	30%(一般)	常州长锦置业发展有限公司	常州长锦置业发展有限公司	
红梅西村	8243	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	搜房评估参考价：6669元/平方米	
红星威尼斯庄园	13919	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
九龙仓国宾1号	16609	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
观墩花园	8153	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
龙东香珀	10837	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
河苑新村	5714	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
南湖家苑	8987	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
天誉花园	13754	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
方正大厦	11359	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
摩尔上品（卓竣上品苑）	11138	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
吾悦国际广场	21985	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
新城万博广场	10945	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
紫荆苑	10687	普通住宅	0.5元/平方米·月	50000m²	300户	2003年	1：0.8	1.65	25%(一般)	常州钟楼房地产开发有限公司	常州钟楼物业有限公司	
